chrom,start,end,value
chr1,521368,750000,0.21454238891601562
chr1,750000,800000,0.06847286224365234
chr1,800000,850000,0.10195541381835938
chr1,850000,900000,0.14108657836914062
chr1,900000,950000,0.11035728454589844
chr1,950000,1000000,0.11605358123779297
chr1,1000000,1050000,0.25040721893310547
chr1,1050000,1100000,0.19800901412963867
chr1,1100000,1150000,0.20361614227294922
chr1,1150000,1200000,0.16521167755126953
chr1,1200000,1250000,0.16518640518188477
chr1,1250000,1300000,0.2677040100097656
chr1,1300000,1350000,0.13587188720703125
chr1,1350000,1400000,0.2041025161743164
chr1,1400000,1450000,0.16356754302978516
chr1,1450000,1500000,0.23633098602294922
chr1,1500000,1550000,0.2176804542541504
chr1,1550000,1600000,0.12686538696289062
chr1,1600000,1650000,0.2939624786376953
chr1,1650000,1700000,0.30059099197387695
chr1,1700000,1800000,0.21146011352539062
chr1,1800000,1850000,0.12614679336547852
chr1,1850000,1900000,0.20547056198120117
chr1,1900000,1950000,0.3158435821533203
chr1,1950000,2000000,0.20950984954833984
chr1,2000000,2050000,0.17279529571533203
chr1,2050000,2100000,0.1752166748046875
chr1,2100000,2150000,0.1229710578918457
chr1,2150000,2200000,0.19681644439697266
chr1,2200000,2250000,0.1741342544555664
chr1,2250000,2300000,0.09861421585083008
chr1,2300000,2350000,0.15294551849365234
chr1,2350000,2400000,0.2283344268798828
chr1,2400000,2450000,0.14711666107177734
chr1,2450000,2500000,-0.0016222000122070312
chr1,2500000,2550000,0.057659149169921875
chr1,2550000,2634220,0.21624183654785156
chr1,2684220,2750000,0.19451618194580078
chr1,2750000,2800000,0.19761085510253906
chr1,2800000,2850000,0.1828303337097168
chr1,2850000,2900000,0.12920284271240234
chr1,2900000,2950000,0.12116241455078125
chr1,2950000,3000000,0.10653877258300781
chr1,3000000,3050000,0.12900161743164062
chr1,3050000,3100000,0.25107812881469727
chr1,3100000,3150000,0.0842742919921875
chr1,3150000,3200000,0.12135648727416992
chr1,3200000,3250000,0.06808280944824219
chr1,3250000,3300000,0.07808399200439453
chr1,3300000,3350000,0.08257150650024414
chr1,3350000,3400000,0.25902414321899414
chr1,3400000,3450000,0.15662384033203125
chr1,3450000,3500000,0.10084342956542969
chr1,3500000,3550000,0.06712722778320312
chr1,3550000,3600000,0.1791701316833496
chr1,3600000,3650000,0.16002941131591797
chr1,3650000,3700000,0.12972497940063477
chr1,3700000,3750000,0.15152549743652344
chr1,3750000,3800000,0.05397224426269531
chr1,3800000,3845268,0.17959976196289062
chr1,3995268,4150000,0.17063617706298828
chr1,4150000,4200000,0.1344623565673828
chr1,4200000,4450000,0.1853947639465332
chr1,4450000,4500000,0.21901416778564453
chr1,4500000,4700000,0.14559078216552734
chr1,4700000,4750000,0.06147480010986328
chr1,4750000,4800000,0.17752552032470703
chr1,4800000,4850000,0.09211921691894531
chr1,4850000,5550000,0.1539440155029297
chr1,5550000,5750000,0.17308998107910156
chr1,5750000,5800000,0.24090576171875
chr1,5800000,5900000,0.10163688659667969
chr1,5900000,5950000,0.10428524017333984
chr1,5950000,6050000,0.16014480590820312
chr1,6050000,6100000,0.14013290405273438
chr1,6100000,6150000,0.15145492553710938
